price,battery_capacity,ram_capacity,internal_memory,screen_size,cpu_benchmark,hashed_brand_name,hashed_model,avg_rating
17599.0,3110.0,4,64.0,6.1,5728.0,25971227,21099467,5.0
18999.0,3110.0,4,128.0,6.1,5728.0,25971227,94197986,5.59
19269.8,3500.0,4,64.0,6.5,5728.0,25971227,93846176,6.18
28599.0,3085.0,4,64.0,6.1,8555.0,25971227,56804521,5.29
32999.0,3175.0,4,128.0,6.1,8555.0,25971227,40862537,5.59
34999.0,3240.0,4,256.0,6.1,8555.0,25971227,48479562,5.88
19699.0,5000.0,4,64.0,5.4,8555.0,25971227,89008694,5.29
20699.0,2438.0,4,128.0,5.4,8555.0,25971227,19865422,5.59
22699.0,5000.0,4,256.0,5.4,8555.0,25971227,19639353,5.59
24239.0,3200.0,6,256.0,6.1,8555.0,25971227,75063056,7.06
32999.0,3279.0,6,512.0,6.1,8555.0,25971227,75144706,7.06
26999.0,3240.0,4,128.0,6.1,9902.0,25971227,48729475,6.76
28999.0,3240.0,4,256.0,6.1,9902.0,25971227,42322807,6.76
30999.0,3240.0,4,512.0,6.1,9902.0,25971227,95474745,7.06
22949.0,2438.0,4,128.0,5.4,9902.0,25971227,16357345,6.76
29999.0,3095.0,6,128.0,6.1,9902.0,25971227,94653294,7.94
32999.0,3095.0,6,1024.0,6.1,9902.0,25971227,70458091,8.24
31999.0,3095.0,6,256.0,6.1,9902.0,25971227,66254814,7.94
34999.0,4352.0,6,128.0,6.7,9902.0,25971227,4191025,8.24
39999.0,4352.0,6,1024.0,6.7,9902.0,25971227,86861670,8.82
37999.0,4352.0,6,256.0,6.7,9902.0,25971227,53652371,8.24
31999.0,3279.0,6,128.0,6.1,9902.0,25971227,18659822,7.35
33999.0,3279.0,6,256.0,6.1,9902.0,25971227,45815566,7.65
35999.0,3279.0,6,512.0,6.1,9902.0,25971227,42338976,7.65
32999.0,4325.0,6,128.0,6.7,9902.0,25971227,68120278,7.65
34999.0,4325.0,6,256.0,6.7,9902.0,25971227,86508717,7.94
37999.0,4325.0,6,512.0,6.7,9902.0,25971227,43269717,7.94
36999.0,3200.0,6,128.0,6.1,11025.0,25971227,64557077,5.59
42999.0,3200.0,6,1024.0,6.1,11205.0,25971227,87495179,6.18
39999.0,3200.0,6,256.0,6.1,11205.0,25971227,8895314,5.88
60999.0,4323.0,6,128.0,6.7,11205.0,25971227,47933540,5.88
82999.0,4323.0,6,1024.0,6.7,11205.0,25971227,58942005,6.47
