epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4093,2.82047,6.18744,2.15833,5e-05,0.01111,0.00013,2e-05,2.08582,6.23823,2.11956,8.459e-05,8.459e-05,8.459e-05
2,110.947,1.77261,5.30752,1.53101,0.00214,0.46241,0.11057,0.04686,1.34511,5.16135,1.22342,0.000171033,0.000171033,0.000171033
3,165.964,1.52745,4.71662,1.23575,0.00313,0.91276,0.18781,0.09614,1.30329,4.77949,1.0025,0.000251386,0.000251386,0.000251386
4,220.865,1.5174,3.80499,1.14095,0.00359,0.95434,0.47627,0.25833,1.26244,4.44993,0.97636,0.000325648,0.000325648,0.000325648
5,276.054,1.44834,3.29453,1.16549,0.7707,0.2928,0.50236,0.306,1.2041,4.21806,1.00019,0.00039382,0.00039382,0.00039382
6,330.923,1.37818,2.83548,1.15882,1,0.07872,0.63769,0.39994,1.18787,3.94803,1.00941,0.000455902,0.000455902,0.000455902
7,385.412,1.35385,2.71367,1.17792,0.99624,0.2662,0.67369,0.44117,1.17146,3.72159,1.0123,0.000511893,0.000511893,0.000511893
8,439.84,1.30873,2.60258,1.18008,0.83157,0.42687,0.78897,0.50569,1.21968,3.44513,1.0462,0.000561793,0.000561793,0.000561793
9,497.902,1.34552,2.55273,1.17696,0.77047,0.7102,0.86035,0.54737,1.26484,2.95137,1.07289,0.000565984,0.000565984,0.000565984
10,558.8,1.3002,2.35164,1.14371,0.8145,0.67083,0.86478,0.56331,1.19088,2.91056,1.05103,0.000540607,0.000540607,0.000540607
11,621.41,1.26063,2.15899,1.12324,0.78832,0.80421,0.88613,0.60839,1.12433,2.53159,1.06008,0.00051523,0.00051523,0.00051523
12,677.608,1.26514,2.07152,1.14733,0.79392,0.81931,0.88239,0.59999,1.18045,2.4514,1.06344,0.000489853,0.000489853,0.000489853
13,732.904,1.21214,1.96183,1.09212,0.82492,0.86946,0.93034,0.59927,1.25699,2.19949,1.08666,0.000464476,0.000464476,0.000464476
14,787.398,1.30149,1.9425,1.15986,0.91429,0.91825,0.96778,0.69089,1.06448,1.92644,1.01369,0.000439099,0.000439099,0.000439099
15,842.34,1.23657,1.81421,1.11843,0.90786,0.92236,0.96672,0.67598,1.09209,1.90764,1.02516,0.000413722,0.000413722,0.000413722
16,897.825,1.18513,1.95047,1.10462,0.91019,0.95201,0.97264,0.69313,1.02834,1.75145,1.00612,0.000388345,0.000388345,0.000388345
17,961.416,1.1396,1.70754,1.05609,0.94319,0.95184,0.98295,0.71559,1.03788,1.64202,1.01178,0.000362968,0.000362968,0.000362968
18,1012.21,1.14971,1.59681,1.05702,0.9329,0.96911,0.98374,0.71177,1.0271,1.62604,1.00043,0.000337591,0.000337591,0.000337591
19,1061.38,1.12836,1.64222,1.06368,0.94917,0.98249,0.978,0.70566,1.02871,1.67928,0.99877,0.000312214,0.000312214,0.000312214
20,1110.63,1.13815,1.58584,1.05504,0.95456,0.96319,0.97947,0.7172,0.98739,1.61135,0.99983,0.000286837,0.000286837,0.000286837
21,1162.41,1.12096,1.92026,1.09583,0.97102,0.96966,0.98906,0.73408,0.95765,1.55428,0.98547,0.00026146,0.00026146,0.00026146
22,1218.81,1.06231,1.80688,1.05902,0.98556,0.97932,0.99086,0.74617,0.9369,1.50693,0.97029,0.000236083,0.000236083,0.000236083
23,1273.07,1.02193,1.7954,1.02433,0.96531,0.97344,0.9892,0.74423,0.93078,1.47186,0.971,0.000210706,0.000210706,0.000210706
24,1331.25,0.99126,1.58411,1.00515,0.97742,0.98568,0.99098,0.74309,0.93627,1.4603,0.9793,0.000185329,0.000185329,0.000185329
25,1382.9,0.96213,1.64263,1.03188,0.98338,0.97477,0.99351,0.75692,0.89173,1.44209,0.96358,0.000159952,0.000159952,0.000159952
26,1432.88,0.97626,1.63549,1.0214,0.98826,0.98877,0.99367,0.76251,0.88315,1.39111,0.95982,0.000134575,0.000134575,0.000134575
27,1482.62,0.95463,1.58225,1.00077,0.99427,0.97991,0.99461,0.76431,0.87081,1.36306,0.95447,0.000109198,0.000109198,0.000109198
28,1531.51,0.92958,1.53561,1.01829,0.9922,0.98296,0.9948,0.76533,0.86933,1.3406,0.94932,8.3821e-05,8.3821e-05,8.3821e-05
29,1579.86,0.89361,1.47789,0.96779,0.99426,0.98091,0.99461,0.77108,0.85468,1.32828,0.94059,5.8444e-05,5.8444e-05,5.8444e-05
30,1628.32,0.88043,1.44703,0.97763,0.99437,0.98215,0.99461,0.77543,0.85584,1.32089,0.93916,3.3067e-05,3.3067e-05,3.3067e-05
